6.7082e-04 6.9919e+01
6.8437e-04 7.1214e+01
6.9819e-04 7.2531e+01
7.1230e-04 7.3871e+01
7.2669e-04 7.5234e+01
7.4137e-04 7.6619e+01
7.5634e-04 7.8028e+01
7.7162e-04 7.9461e+01
7.8721e-04 8.0917e+01
8.0311e-04 8.2398e+01
8.1934e-04 8.3903e+01
8.3589e-04 8.5432e+01
8.5277e-04 8.6987e+01
8.7000e-04 8.8568e+01
8.8758e-04 9.0174e+01
9.0551e-04 9.1806e+01
9.2380e-04 9.3464e+01
9.4246e-04 9.5148e+01
9.6150e-04 9.6860e+01
9.8092e-04 9.8598e+01
1.0007e-03 1.0036e+02
1.0210e-03 1.0216e+02
1.0416e-03 1.0398e+02
1.0626e-03 1.0583e+02
1.0841e-03 1.0771e+02
1.1060e-03 1.0961e+02
1.1283e-03 1.1155e+02
1.1511e-03 1.1351e+02
1.1744e-03 1.1551e+02
1.1981e-03 1.1753e+02
1.2223e-03 1.1958e+02
1.2470e-03 1.2166e+02
1.2722e-03 1.2378e+02
1.2979e-03 1.2592e+02
1.3241e-03 1.2809e+02
1.3509e-03 1.3029e+02
1.3781e-03 1.3253e+02
1.4060e-03 1.3479e+02
1.4344e-03 1.3708e+02
1.4634e-03 1.3941e+02
1.4929e-03 1.4176e+02
1.5231e-03 1.4415e+02
1.5539e-03 1.4657e+02
1.5852e-03 1.4902e+02
1.6173e-03 1.5149e+02
1.6499e-03 1.5400e+02
1.6833e-03 1.5655e+02
1.7173e-03 1.5912e+02
1.7520e-03 1.6172e+02
1.7874e-03 1.6436e+02
1.8235e-03 1.6702e+02
1.8603e-03 1.6971e+02
1.8979e-03 1.7244e+02
1.9362e-03 1.7519e+02
1.9753e-03 1.7798e+02
2.0152e-03 1.8079e+02
2.0560e-03 1.8363e+02
2.0975e-03 1.8650e+02
2.1399e-03 1.8940e+02
2.1831e-03 1.9232e+02
2.2272e-03 1.9528e+02
2.2722e-03 1.9826e+02
